id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
913120708291909447,"Great Location, Renovated Modern Spanish Apartment",125444529,Cody,,Midtown,32.7476679,-117.162479,Entire home/apt,125,2,58,2024-11-18,3.13,44,132,34,"STR-05898L, 646715"
913171518221767461,"[$4,500 a Month] Downtown high-rise w/PKG",35661214,John,,Core,32.71794116770315,-117.15937780555154,Entire home/apt,145,31,0,,,8,365,0,
913177319933923251,Comic Con House,47841864,Chris,,Normal Heights,32.76238,-117.11702,Entire home/apt,,3,0,,,1,0,0,"STR-08301L, 649523"
913184828953386000,1BR cottage in the heart of the city - dogs ok,111815158,Vacasa California,,Grant Hill,32.71163,-117.14585,Entire home/apt,132,31,1,2024-07-02,0.17,5,365,1,
920375896257064436,Finest Apartment in Gaslamp,376471562,Jon & Michelle,,Gaslamp Quarter,32.71343,-117.15961,Entire home/apt,127,2,46,2024-12-01,2.55,2,2,43,Exempt
899886656437137338,Central Charmer in Unbeatable Old Town Location!,43349223,Evan,,Old Town,32.751549589066684,-117.19494560602894,Entire home/apt,156,2,81,2024-12-09,4.32,89,325,57,"STR-05150L, 645990"
899948084235959931,Near downtown SD & Balboa Park,473513500,Jason,,South Park,32.71426,-117.1295,Entire home/apt,99,5,2,2024-10-15,0.37,1,70,2,"STR-08128L, 649343"
900069705388477178,"Modern 4 bed, 2 bath home in SD",130954997,Heather,,Alta Vista,32.69493336015167,-117.07572594051082,Entire home/apt,300,31,1,2024-08-31,0.26,18,88,1,
900175614675156594,Walk to Village/Beach/A/C/EV Charger/Fall Deals,492305565,Ocean Sands Vacation Rentals,,La Jolla,32.839314,-117.27562,Entire home/apt,625,1,6,2024-07-14,0.33,24,281,4,"STR-02301L, 520109"
900260040227818044,"Steps to Sand, Ocean View Balcony + 4 Full Baths!",25519858,Mission Beach Villas.,,Mission Bay,32.78243569533095,-117.2519097012818,Entire home/apt,310,2,9,2024-06-20,0.47,31,58,8,"STR-02707L, 622881"
